source,label,timestamp
C1022153336,0,2023-10-09 15:38:36.015
C1006176917,0,2023-10-09 15:38:54.309
C1010936270,0,2023-10-09 15:38:59.416
C1033736586,0,2023-10-09 15:39:11.709
C1019071188,0,2023-10-09 15:39:45.598
C1020019215,0,2023-10-09 15:40:11.212
C1018153896,0,2023-10-09 15:40:20.085
C1038879380,0,2023-10-09 15:40:50.308
C1023803355,0,2023-10-09 15:41:07.185
C1028995887,0,2023-10-09 15:41:21.217
C1010936270,0,2023-10-09 15:41:22.932
C1028143403,0,2023-10-09 15:41:40.688
C1032715879,0,2023-10-09 15:41:45.191
C1008918174,0,2023-10-09 15:43:27.307
C1027777422,0,2023-10-09 15:43:58.948
C1005495267,0,2023-10-09 15:44:45.613
C1004300450,0,2023-10-09 15:44:45.697
C1014010834,0,2023-10-09 15:44:49.482
C1002759277,0,2023-10-09 15:45:23.136
C1011693897,0,2023-10-09 15:45:33.933
C1010936270,0,2023-10-09 15:45:45.951
C1037161656,0,2023-10-09 15:45:48.470
C1014347664,0,2023-10-09 15:45:52.741
C1032715879,0,2023-10-09 15:46:55.641
C1018783569,0,2023-10-09 15:47:18.220
C1004109477,0,2023-10-09 15:47:25.072
C1039390058,0,2023-10-09 15:47:45.486
C100045114,0,2023-10-09 15:48:12.379
C1035666255,0,2023-10-09 15:48:18.981
C1014010834,0,2023-10-09 15:48:34.162
C10105795,0,2023-10-09 15:49:03.470
C1035681921,0,2023-10-09 15:49:18.901
C1008918174,0,2023-10-09 15:49:36.599
C1038329920,0,2023-10-09 15:50:06.048
C1014010834,0,2023-10-09 15:50:13.913
C1030484150,0,2023-10-09 15:50:39.510
C1033736586,0,2023-10-09 15:50:42.035
C1035581047,0,2023-10-09 15:50:45.893
C1017941602,0,2023-10-09 15:51:06.662
C1025104996,0,2023-10-09 15:51:12.918
C1038722314,0,2023-10-09 15:51:22.571
C1009080922,0,2023-10-09 15:51:28.125
C1033736586,0,2023-10-09 15:51:38.384
C102364766,0,2023-10-09 15:51:57.783
C1035222482,0,2023-10-09 15:52:39.153
C1014347664,0,2023-10-09 15:52:49.806
C1032319289,0,2023-10-09 15:53:05.373
C1037622786,0,2023-10-09 15:53:25.843
C1004109477,0,2023-10-09 15:53:27.490
C1038996959,0,2023-10-09 15:53:51.742
C1031698099,0,2023-10-09 15:54:04.654
C1007790716,0,2023-10-09 15:54:32.251
C1004300450,0,2023-10-09 15:54:41.720
C1018979501,0,2023-10-09 15:54:44.450
C1007790716,0,2023-10-09 15:55:12.307
C10105795,0,2023-10-09 15:55:22.347
C1032319289,0,2023-10-09 15:55:23.292
C1013313546,0,2023-10-09 15:55:33.082
C1039390058,0,2023-10-09 15:55:35.098
C1014347664,0,2023-10-09 15:56:04.037
C1014347664,0,2023-10-09 15:57:16.267
C1037622786,0,2023-10-09 15:57:17.000
C1011693897,0,2023-10-09 15:57:22.828
C1035222482,0,2023-10-09 15:57:23.645
C1025104996,0,2023-10-09 15:57:49.535
C1007572087,0,2023-10-09 15:58:13.051
C1007790716,0,2023-10-09 15:58:55.154
C100045114,0,2023-10-09 15:58:55.566
C1004300450,0,2023-10-09 15:59:00.545
C1018388493,0,2023-10-09 15:59:04.660
C1013313546,0,2023-10-09 15:59:11.130
C1035666255,0,2023-10-09 15:59:18.962
C1033416330,0,2023-10-09 15:59:37.770
C1035222482,0,2023-10-09 15:59:37.907
C1007572087,0,2023-10-09 15:59:49.710
C1010865894,0,2023-10-09 16:00:03.803
C1005126300,0,2023-10-09 16:00:15.555
C1031698099,0,2023-10-09 16:00:29.520
C1034685704,0,2023-10-09 16:00:32.376
C1010589026,0,2023-10-09 16:00:54.202
C1010865894,0,2023-10-09 16:00:57.753
C1014347664,0,2023-10-09 16:01:01.949
C1038996959,0,2023-10-09 16:01:02.760
C1006176917,0,2023-10-09 16:01:06.256
C1028143403,0,2023-10-09 16:01:06.359
C1038215695,0,2023-10-09 16:01:20.218
C1014010834,0,2023-10-09 16:01:21.417
C1007572087,0,2023-10-09 16:02:17.204
C1035681921,0,2023-10-09 16:02:27.596
C1014010834,0,2023-10-09 16:03:32.770
C1005495267,0,2023-10-09 16:03:41.135
C1038996959,0,2023-10-09 16:04:05.130
C1014313887,0,2023-10-09 16:04:09.828
C1038329920,0,2023-10-09 16:04:20.874
C1014124305,0,2023-10-09 16:04:34.364
C1018653381,0,2023-10-09 16:05:16.475
C1018153896,0,2023-10-09 16:05:24.825
C1039748502,0,2023-10-09 16:05:56.848
C102256008,0,2023-10-09 16:06:14.517
C1006176917,0,2023-10-09 16:06:29.056
C1034685704,0,2023-10-09 16:06:51.946
C1002658784,0,2023-10-09 16:07:23.445
C1030975170,0,2023-10-09 16:07:55.860
C1035681921,0,2023-10-09 16:08:02.677
C1002759277,0,2023-10-09 16:08:19.662
C1014124305,0,2023-10-09 16:08:42.276
C1018388493,0,2023-10-09 16:09:16.147
C1029994689,0,2023-10-09 16:09:50.031
C1029994689,0,2023-10-09 16:09:51.408
C1010589026,0,2023-10-09 16:11:47.841
C102364766,0,2023-10-09 16:12:18.881
C1018979501,0,2023-10-09 16:12:27.753
C102364766,0,2023-10-09 16:12:32.541
C10105795,0,2023-10-09 16:12:34.013
C1000148617,0,2023-10-09 16:12:46.495
C1038733568,0,2023-10-09 16:12:49.498
C1028143403,0,2023-10-09 16:13:09.850
C1004109477,0,2023-10-09 16:13:32.648
C1038733568,0,2023-10-09 16:13:42.976
C1037161656,0,2023-10-09 16:13:58.537
C100992504,0,2023-10-09 16:14:19.294
C1013313546,0,2023-10-09 16:14:53.656
C100045114,0,2023-10-09 16:14:56.854
C1038722314,0,2023-10-09 16:15:08.190
C1004300450,0,2023-10-09 16:15:25.185
C1007790716,0,2023-10-09 16:15:27.471
C1018653381,0,2023-10-09 16:15:54.985
C1032319289,0,2023-10-09 16:15:56.923
C1038329920,0,2023-10-09 16:16:09.192
C1019678929,0,2023-10-09 16:16:51.212
C1017469037,0,2023-10-09 16:17:31.647
C1037161656,0,2023-10-09 16:17:31.866
C1038996959,0,2023-10-09 16:17:37.794
C1038722314,0,2023-10-09 16:17:41.225
C1022530210,0,2023-10-09 16:18:01.442
C1009080922,0,2023-10-09 16:18:09.889
C1012876398,0,2023-10-09 16:18:14.827
C1004532392,0,2023-10-09 16:18:48.195
C1020192133,0,2023-10-09 16:19:08.025
C1038996959,0,2023-10-09 16:19:10.266
C1006176917,0,2023-10-09 16:19:21.772
C1018653381,0,2023-10-09 16:19:27.366
C1011693897,0,2023-10-09 16:19:32.633
C1031698099,0,2023-10-09 16:19:44.931
C1018783569,0,2023-10-09 16:19:51.375
C1032319289,0,2023-10-09 16:19:53.123
