timestamp,source,amount_avg_2h,amount_avg_12h,amount_avg_24h,amount_sum_2h,amount_sum_12h,amount_sum_24h,amount_count_2h,amount_count_12h,amount_count_24h,amount_max_2h,amount_max_12h,amount_max_24h,es_transportation_sum_14d,es_health_sum_14d,es_otherservices_sum_14d,es_food_sum_14d,es_hotelservices_sum_14d,es_barsandrestaurants_sum_14d,es_tech_sum_14d,es_sportsandtoys_sum_14d,es_wellnessandbeauty_sum_14d,es_hyper_sum_14d,es_fashion_sum_14d,es_home_sum_14d,es_contents_sum_14d,es_travel_sum_14d,es_leisure_sum_14d,age_mapped,step,age,gender_F,gender_M,zipcodeOri,zipMerchant,category_es_transportation,category_es_health,category_es_otherservices,category_es_food,category_es_hotelservices,category_es_barsandrestaurants,category_es_tech,category_es_sportsandtoys,category_es_wellnessandbeauty,category_es_hyper,category_es_fashion,category_es_home,category_es_contents,category_es_travel,category_es_leisure,amount,fraud,target,device,timestamp_hour,timestamp_day_of_week
2023-10-09 15:38:36.015493,C1022153336,26.92,26.92,26.92,26.92,26.92,26.92,1.0,1.0,1.0,26.92,26.92,26.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,91,5,1,0,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.92,0,M1823072687,33832bb8607545df97632a7ab02d69c4,15,0
2023-10-09 15:38:54.309118913,C1006176917,48.22,48.22,48.22,48.22,48.22,48.22,1.0,1.0,1.0,48.22,48.22,48.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,94,2,0,1,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.22,0,M348934600,fadd829c49e74ffa86c8da3be75ada53,15,0
2023-10-09 15:38:59.416288939,C1010936270,17.56,17.56,17.56,17.56,17.56,17.56,1.0,1.0,1.0,17.56,17.56,17.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,131,3,0,1,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,0,M348934600,58d0422a50bc40c89d2b4977b2f1beea,15,0
2023-10-09 15:39:11.709040118,C1033736586,4.5,4.5,4.5,4.5,4.5,4.5,1.0,1.0,1.0,4.5,4.5,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,108,4,1,0,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,M1823072687,30b269ae55984e5584f1dd5f642ac1a3,15,0
2023-10-09 15:39:45.598122001,C1019071188,1.83,1.83,1.83,1.83,1.83,1.83,1.0,1.0,1.0,1.83,1.83,1.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,72,4,0,1,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,M348934600,97bee3503a984f59aa6139b59f933c0b,15,0
2023-10-09 15:40:11.212337325,C1020019215,215.63,215.63,215.63,215.63,215.63,215.63,1.0,1.0,1.0,215.63,215.63,215.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,92,4,1,0,28007,28007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,215.63,0,M547558035,50b29430fd0d4d8e919874834980252c,15,0
2023-10-09 15:40:20.085552146,C1018153896,37.3,37.3,37.3,37.3,37.3,37.3,1.0,1.0,1.0,37.3,37.3,37.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,36,3,1,0,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3,0,M348934600,7ec6e58cfa0d463886fdcc05e2f9d3ab,15,0
2023-10-09 15:40:50.308739645,C1038879380,56.69,56.69,56.69,56.69,56.69,56.69,1.0,1.0,1.0,56.69,56.69,56.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,99,2,1,0,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.69,0,M348934600,0a285e7302534014b9253257b11d8cd7,15,0
2023-10-09 15:41:07.185014122,C1023803355,31.53,31.53,31.53,31.53,31.53,31.53,1.0,1.0,1.0,31.53,31.53,31.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,64,4,0,1,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.53,0,M1823072687,e2f1b14f73014143a94f7d9505638134,15,0
2023-10-09 15:41:21.217632533,C1028995887,18.94,18.94,18.94,18.94,18.94,18.94,1.0,1.0,1.0,18.94,18.94,18.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,118,2,1,0,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.94,0,M348934600,f372a6efb54d40a9b4d0af3fb6a22c31,15,0
2023-10-09 15:41:22.932819974,C1010936270,10.75,10.75,10.75,21.5,21.5,21.5,2.0,2.0,2.0,17.56,17.56,17.56,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,65,3,0,1,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,M348934600,2b6877b10c7548bb8cc86fd43867f850,15,0
2023-10-09 15:41:40.688785348,C1028143403,11.16,11.16,11.16,11.16,11.16,11.16,1.0,1.0,1.0,11.16,11.16,11.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,3,0,1,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.16,0,M348934600,cb1f6f7ba4a64ee19c0ec2eafc1f6209,15,0
2023-10-09 15:41:45.191114136,C1032715879,16.74,16.74,16.74,16.74,16.74,16.74,1.0,1.0,1.0,16.74,16.74,16.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,137,3,1,0,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,M348934600,dcd0943b34254126a2d79d3ac652f268,15,0
2023-10-09 15:43:27.307824862,C1008918174,0.76,0.76,0.76,0.76,0.76,0.76,1.0,1.0,1.0,0.76,0.76,0.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,96,3,1,0,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,M1823072687,e6b346c56a1d4df8ad8ae7a244b1ceb3,15,0
2023-10-09 15:43:58.948759375,C1027777422,74.89,74.89,74.89,74.89,74.89,74.89,1.0,1.0,1.0,74.89,74.89,74.89,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,55,2,0,1,28007,28007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74.89,0,M85975013,7bea30c17d4c4489ae0239b1ff9ee6b8,15,0
2023-10-09 15:44:45.613680843,C1005495267,6.53,6.53,6.53,6.53,6.53,6.53,1.0,1.0,1.0,6.53,6.53,6.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,70,1,0,1,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,M1823072687,44a6b1dfe9a34aa8bf8f449a71688712,15,0
2023-10-09 15:44:45.697484374,C1004300450,47.15,47.15,47.15,47.15,47.15,47.15,1.0,1.0,1.0,47.15,47.15,47.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,31,4,0,1,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.15,0,M348934600,7a498132c2cf43898b97fd47a913c125,15,0
2023-10-09 15:44:49.482029121,C1014010834,15.3,15.3,15.3,15.3,15.3,15.3,1.0,1.0,1.0,15.3,15.3,15.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,85,1,0,1,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,M1823072687,b9db8571e99446dda7d012d3fd4e9a46,15,0
2023-10-09 15:45:23.136117815,C1002759277,41.12,41.12,41.12,41.12,41.12,41.12,1.0,1.0,1.0,41.12,41.12,41.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,125,1,1,0,28007,28007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.12,0,M1823072687,0c5166aeea6a422aa7f0a9b21f3ecd3c,15,0
